Temp,Humidity,Pressure
20.7,66.62357110837891,1014.5497729952207
17.9,63.232945540966824,1012.0780566656887
18.8,67.68687491342163,1013.1829962292886
14.6,71.56754270279914,1012.6601492711989
15.8,63.36528174826041,1015.506124719487
15.8,63.70861127583372,1012.9639580627143
15.8,73.11809811231635,1014.7863551963184
17.4,69.72133456282509,1017.8903936123314
21.8,64.75820364610495,1016.615749944504
20.0,69.79897663121544,1013.1215702862647
16.2,64.34877466752256,1013.1171217726164
13.3,64.0958855148443,1014.5756173464582
16.7,68.65190150779046,1010.497696558629
21.5,59.17202922752918,1012.3508412170116
25.0,61.14886615755383,1015.2358216962475
20.7,66.43562859944163,1013.7863463522402
20.6,64.49500791140623,1017.9003018716757
24.8,72.30088535873553,1013.0031049244062
17.7,65.09830431579132,1011.7913317931949
15.5,62.46387487022198,1011.9957892367421
18.2,77.71870194139422,1013.9380542189255
12.1,68.3646410173887,1013.2833210964184
14.4,70.61213175727542,1018.1806900007889
16.0,63.78952724148858,1013.0017563559177
16.5,68.60784611380983,1013.9339013337604
18.7,72.638485248751,1015.703361188984
19.4,66.78054383991945,1013.7540095804392
17.2,74.28307722217562,1014.9711993200661
15.5,69.36781211151414,1014.5648376859629
15.1,71.13620827269447,1015.4294149281071
15.4,69.94697786575861,1010.9542631904568
15.3,82.4948099807849,1015.3807134757074
18.8,74.16082601408459,1013.6634351521242
21.9,69.85154890042742,1014.469327873793
19.9,79.14143084294182,1013.2216788461607
16.6,68.54981704762862,1017.1481145494278
16.8,76.02032333919561,1009.7458885932837
14.6,65.01618319611033,1016.5286144413624
17.1,68.94860723410432,1012.4969662263456
25.0,78.42524114816297,1017.307970269192
15.0,79.40097891778059,1016.192431926507
13.7,76.56943263618622,1015.7149745921591
13.9,75.43445092429413,1015.3512672889182
18.3,75.64335374612457,1018.4475634437641
22.0,70.74844548800363,1012.9100642456707
22.1,74.80994557535334,1012.9424413936931
21.2,76.16993883879188,1012.748209266226
18.4,83.43849196377003,1015.77028061687
16.6,79.7464320787834,1011.231694401342
16.1,69.34424100572767,1015.8273264102028
15.7,79.9265361214494,1013.2080927789979
16.6,76.78288530725855,1011.6945909591332
16.5,75.521306972202,1011.6698104119185
14.4,81.75729445536223,1012.1264231770862
14.4,84.06221925199563,1010.7478855394043
18.5,84.58718182341192,1014.9532453243158
16.9,75.61344332595743,1015.5485524320111
17.5,78.57735064806009,1015.7923468745469
21.2,82.70868551766272,1012.8070294603398
17.8,85.4340674089419,1014.5058766741886
18.6,78.49940800489983,1013.9404040456524
17.0,79.82083230664028,1015.2330394012225
16.0,75.18615928053843,1014.6897121111234
13.3,74.36031716429461,1013.8455370923258
14.3,84.76225617467637,1009.9983410567885
11.4,87.05381750728876,1013.2368472363811
16.3,81.0402256386143,1014.0367554016811
16.1,86.52022428177702,1012.4154473877593
11.8,82.58760601308526,1013.0516757235907
12.2,77.76523495577877,1011.0115350515409
14.7,83.42372266122103,1013.0927744573573
11.8,88.84730412468215,1014.6017643397897
11.3,80.99279754345635,1017.7431215838142
10.6,88.96434872895077,1011.5046107872745
11.7,68.3659709255587,1013.5370738321169
14.2,86.17210811349143,1011.7870838725792
11.2,81.9900341038247,1013.3748651806605
16.9,81.28624156072314,1013.3975065408586
16.7,83.28081313871381,1015.5008062968549
8.1,71.23912238108633,1015.3532684536558
8.0,80.12776999008648,1013.7256607294587
8.8,83.23503930227312,1013.2110184011976
13.4,89.8164591383445,1016.0429197753896
10.9,79.38729887713603,1013.9045662118826
13.4,78.4819762406499,1016.7028661454232
11.0,79.57557296764008,1010.2819237537125
15.0,87.49539051145396,1017.3139418019915
15.7,84.73025511536571,1012.5495177427568
14.5,80.21990749964351,1011.55217700022
15.8,85.71133747619113,1013.7004713713343
16.7,83.82075793892591,1011.5076171331598
16.8,88.20303964248407,1014.9779058454772
17.5,79.98806770370798,1012.9497122889192
17.1,81.77261495705226,1014.429690678415
18.1,81.63705367001754,1011.9503518751984
16.6,75.96076864830863,1013.3851445729719
10.0,83.41377942040629,1013.6938635357604
14.9,84.18738260198688,1013.3682264194265
15.9,83.0707043353178,1016.9781872269022
13.0,81.2493457560445,1014.821646068612
7.6,74.21669807532126,1013.7873556668426
11.5,79.9157363377661,1009.8619708062341
13.5,80.64495850464951,1014.4313667053096
13.0,78.18088762985285,1016.1223050444058
13.3,81.37378254014801,1012.2850344202737
